Seção,Capítulo,Título do capítulo,Autores do capítulo (nomes completos),Autores na forma Vancouver,Página inicial,Página final,Referência Vancouver
1,1,Embriologia da Coluna Vertebral,Erasmo de Abreu Zardo; Joel Abramczuk; Fernando Augusto Dannenbrock,"Zardo EA, Abramczuk J, Dannenbrock FA",3,10,"Zardo EA, Abramczuk J, Dannenbrock FA. Embriologia da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 3-10."
1,2,Biomecânica da Coluna Vertebral,Marcos Antônio Tebet,Tebet MA,11,16,"Tebet MA. Biomecânica da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 11-16."
1,3,Neuroanatomia Funcional da Medula Espinhal,Aluízio Augusto Arantes Junior; Bernardo Drummond Braga; Adriano M. Lino Filho; Diogo Nogueira Ribeiro,"Arantes Junior AA, Braga BD, Lino Filho AM, Ribeiro DN",17,28,"Arantes Junior AA, Braga BD, Lino Filho AM, Ribeiro DN. Neuroanatomia funcional da medula espinhal. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 17-28."
1,4,Anatomia Cirúrgica e Vias de Acesso da Coluna Cervical,Sara Reis de Paula; Mauro dos Santos Volpi; Bruno da Costa Ancheschi; Guilherme Pagioro Miranda,"Paula SR, Volpi MS, Ancheschi BC, Miranda GP",29,36,"Paula SR, Volpi MS, Ancheschi BC, Miranda GP. Anatomia cirúrgica e vias de acesso da coluna cervical. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 29-36."
1,5,Anatomia Cirúrgica e Vias de Acesso da Coluna Torácica,Thiago Coutinho; Morgana Vieira,"Coutinho T, Vieira M",37,48,"Coutinho T, Vieira M. Anatomia cirúrgica e vias de acesso da coluna torácica. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 37-48."
1,6,Anatomia Cirúrgica e Abordagens da Junção Toracolombar,Paulo Tadeu Maia Cavali; Aécio Rubens Dias Pereira Filho; Renato de Oliveira,"Cavali PTM, Pereira Filho ARD, Oliveira R",49,70,"Cavali PTM, Pereira Filho ARD, Oliveira R. Anatomia cirúrgica e abordagens da junção toracolombar. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 49-70."
1,7,Anatomia Cirúrgica e Vias de Acesso da Coluna Lombar e Lombossacra,Cristiano Magalhães Menezes; Jefferson Soares Leal,"Menezes CM, Leal JS",71,94,"Menezes CM, Leal JS. Anatomia cirúrgica e vias de acesso da coluna lombar e lombossacra. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 71-94."
1,8,Coluna Vertebral no Plano Sagital,Marcelo Italo Risso Neto; Paulo Tadeu Maia Cavali,"Risso Neto MI, Cavali PTM",95,112,"Risso Neto MI, Cavali PTM. Coluna vertebral no plano sagital. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 95-112."
1,9,"Princípios da Artrodese, Biologia do Enxerto e Substitutos Ósseos na Coluna",Raphael Martus Marcon; Matheus Augusto Maciel Santiago; Henrique Griese Luciano dos Santos,"Marcon RM, Santiago MAM, Santos HGL",113,118,"Marcon RM, Santiago MAM, Santos HGL. Princípios da artrodese, biologia do enxerto e substitutos ósseos na coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 113-118."
1,10,Biomecânica dos Implantes nas Fixações Vertebrais,Delio Eulálio Martins; Marcos Gregory Cintra Parreira,"Martins DE, Parreira MGC",119,134,"Martins DE, Parreira MGC. Biomecânica dos implantes nas fixações vertebrais. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 119-134."
1,11,Disrafismo Espinhal – Defeitos do Tubo Neural,Márcio Vinhal de Carvalho,Carvalho MV,135,146,"Carvalho MV. Disrafismo espinhal – defeitos do tubo neural. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 135-146."
